ILI Tool,Adjstd Weld Number,Adjstd Approx Milepost,Adjstd Approx Map Station (ft),Odometer (ft),Odometer Distance to Start of Box (ft),Feature Number,Feature Description,Distance to Nearest Weld (ft),Distance to Upstream Weld (ft),Distance to Downstream Weld (ft),Distance From Top of Pipe (ft),Distance to Nearest AGM (ft),Distance to Upstream AGM (ft),Distance to Downstream AGM (ft),WT (in),Max Depth (%),Max Depth + Tolerance (%),Length (in),Width (in),Oreintation (Degrees),Pipe Length (ft),Long Seam Orient. (Degrees),0.85DL Safe MAOP Rating (psig),0.85DL Safe MAOP Rating + Tolerance (psig),Eff. Area B31G of API579 Safe MAOP Rating (psig),Eff. Area B31G of API579 Safe MAOP Rating + Tolerance (psig),Eff. Area B31G of API579 Burst Press. Rating (psig),Eff. Area B31G of API579 Burst Press. Rating + Tolerance (psig),Latitude NAD83,Longitude NAD83,Elevation Above Mean Sea Level NAVD88 (ft),Comments,Pipe Size (in),Pipe Grade ,Pipe Type,MOP (psi)
MFL,290,,,12615.98,12615.96,5415,ML Int,U11.89,11.89,47.65,1.02,D1312.34,3553.92,1312.34,0.219,11,21,0.27,0.27,162,59.54,,2264,2261,2264,2260,3144,3138,35.0763359,-119.3714891,618.86,,8.625,X52,ERW,1363
MFL,290,,,12619.09,12619.08,5416,ML Int,U14.99,14.99,44.55,1.04,D1309.23,3557.03,1309.23,0.219,10,20,0.28,0.28,166,59.54,,2264,2261,2264,2260,3144,3139,35.0763358,-119.3714790,618.79,,8.625,X52,ERW,1363
MFL,290,,,12620.48,12620.46,5417,ML Int,U16.38,16.38,43.16,1.02,D1307.84,3558.42,1307.84,0.219,10,20,0.28,0.28,163,59.54,,2264,2261,2264,2260,3144,3139,35.0763358,-119.3714744,618.75,,8.625,X52,ERW,1363
MFL,290,,,12632.30,12632.29,5418,ML Int,U28.21,28.21,31.33,1.03,D1296.02,3570.24,1296.02,0.219,11,21,0.28,0.28,164,59.54,,2264,2261,2263,2260,3144,3138,35.0763355,-119.3714348,618.46,,8.625,X52,ERW,1363
MFL,290,,,12636.89,,5419,MCP,D26.74,32.80,26.74,1.69,D1291.43,3574.83,1291.43,0.219,,,3.56,3.97,269,59.54,,,,,,,,35.0763353,-119.3714194,618.34,,8.625,X52,ERW,1363
MFL,290,,,12642.03,12642.02,5420,ML Int,D21.60,37.94,21.60,1.03,D1286.29,3579.97,1286.29,0.219,12,22,0.27,0.27,164,59.54,,2264,2261,2263,2259,3143,3138,35.0763352,-119.3714023,618.23,,8.625,X52,ERW,1363
MFL,291,2.391,122+23,12663.63,,5421,Weld,D59.50,59.54,59.50,,D1264.69,3601.57,1264.69,0.219,,,,,,59.50,342,,,,,,,35.0763345,-119.3713304,617.94,,8.625,X52,ERW,1363
MFL,291,,,12666.78,12666.77,5422,ML Int,U3.15,3.15,56.35,1.03,D1261.54,3604.72,1261.54,0.219,10,20,0.27,0.27,165,59.50,,2264,2261,2264,2260,3144,3139,35.0763344,-119.3713200,617.90,,8.625,X52,ERW,1363
MFL,291,,,12672.30,12672.28,5423,ML Int,U8.66,8.66,50.84,1.02,D1256.03,3610.23,1256.03,0.219,12,22,0.27,0.27,162,59.50,,2264,2261,2263,2259,3143,3138,35.0763342,-119.3713017,617.82,,8.625,X52,ERW,1363
MFL,291,,,12678.31,12678.29,5424,ML Int Cluster,U14.67,14.67,44.83,1.03,D1250.01,3616.25,1250.01,0.219,10,20,0.67,0.41,164,59.50,,2253,2236,2253,2238,3130,3108,35.0763341,-119.3712814,617.73,,8.625,X52,ERW,1363
MFL,291,,,12681.47,12681.45,5425,ML Int,U17.84,17.84,41.67,1.02,D1246.85,3619.41,1246.85,0.219,10,20,0.28,0.28,162,59.50,,2264,2261,2264,2260,3144,3139,35.0763340,-119.3712706,617.68,,8.625,X52,ERW,1363
MFL,291,,,12681.97,12681.96,5426,ML Int,U18.34,18.34,41.17,1.03,D1246.35,3619.91,1246.35,0.219,13,23,0.28,0.28,164,59.50,,2263,2260,2263,2259,3143,3137,35.0763340,-119.3712690,617.68,,8.625,X52,ERW,1363
MFL,291,,,12683.06,12683.04,5427,ML Int,U19.43,19.43,40.07,1.03,D1245.26,3621.00,1245.26,0.219,13,23,0.28,0.28,164,59.50,,2263,2260,2263,2259,3143,3137,35.0763340,-119.3712655,617.66,,8.625,X52,ERW,1363
MFL,291,,,12685.64,12685.63,5428,ML Int,U22.01,22.01,37.49,1.00,D1242.68,3623.58,1242.68,0.219,10,20,0.27,0.27,159,59.50,,2264,2261,2264,2260,3144,3139,35.0763339,-119.3712570,617.62,,8.625,X52,ERW,1363
MFL,291,,,12687.75,12687.74,5429,ML Int,U24.12,24.12,35.38,1.02,D1240.57,3625.69,1240.57,0.219,11,21,0.28,0.28,162,59.50,,2264,2261,2263,2260,3144,3138,35.0763339,-119.3712501,617.59,,8.625,X52,ERW,1363
MFL,291,,,12688.59,12688.57,5430,ML Int,U24.96,24.96,34.55,1.04,D1239.73,3626.53,1239.73,0.219,10,20,0.28,0.28,166,59.50,,2264,2261,2264,2260,3144,3139,35.0763339,-119.3712472,617.58,,8.625,X52,ERW,1363
MFL,291,,,12694.06,12694.04,5431,ML Int,D29.08,30.42,29.08,1.02,D1234.27,3631.99,1234.27,0.219,10,20,0.27,0.27,162,59.50,,2264,2261,2264,2260,3144,3139,35.0763338,-119.3712292,617.50,,8.625,X52,ERW,1363
MFL,291,,,12697.37,12697.35,5432,ML Int,D25.77,33.73,25.77,0.36,D1230.96,3635.30,1230.96,0.219,11,21,0.28,0.28,58,59.50,,2264,2261,2263,2260,3144,3138,35.0763337,-119.3712182,617.45,,8.625,X52,ERW,1363
MFL,291,,,12698.37,12698.36,5433,ML Int,D24.76,34.74,24.76,1.02,D1229.95,3636.31,1229.95,0.219,11,21,0.27,0.27,162,59.50,,2264,2261,2264,2260,3144,3138,35.0763337,-119.3712150,617.43,,8.625,X52,ERW,1363
MFL,291,,,12698.76,12698.75,5434,ML Int,D24.37,35.13,24.37,1.03,D1229.56,3636.70,1229.56,0.219,10,20,0.28,0.28,165,59.50,,2264,2261,2264,2260,3144,3139,35.0763337,-119.3712137,617.43,,8.625,X52,ERW,1363
MFL,291,,,12699.08,12699.07,5435,ML Int,D24.06,35.44,24.06,1.02,D1229.24,3637.02,1229.24,0.219,10,20,0.28,0.28,163,59.50,,2264,2261,2264,2260,3144,3139,35.0763337,-119.3712126,617.42,,8.625,X52,ERW,1363
MFL,291,,,12700.40,12700.38,5436,ML Int,D22.74,36.77,22.74,1.06,D1227.92,3638.34,1227.92,0.219,10,20,0.28,0.28,169,59.50,,2264,2261,2264,2260,3144,3139,35.0763337,-119.3712081,617.39,,8.625,X52,ERW,1363
MFL,291,,,12702.46,12702.45,5437,ML Int,D20.67,38.83,20.67,1.02,D1225.86,3640.40,1225.86,0.219,12,22,0.28,0.28,163,59.50,,2264,2261,2263,2259,3143,3138,35.0763337,-119.3712014,617.35,,8.625,X52,ERW,1363
MFL,291,,,12708.29,12708.28,5438,ML Int,D14.84,44.66,14.84,1.02,D1220.03,3646.23,1220.03,0.219,11,21,0.27,0.27,162,59.50,,2264,2261,2264,2260,3144,3138,35.0763338,-119.3711819,617.22,,8.625,X52,ERW,1363
MFL,291,,,12708.49,12708.46,5439,ML EXT Cluster,D14.64,44.86,14.64,1.40,D1219.83,3646.43,1219.83,0.219,25,35,0.55,1.27,223,59.50,,2239,2223,2241,2222,3112,3087,35.0763338,-119.3711812,617.22,,8.625,X52,ERW,1363
MFL,291,,,12711.22,12711.20,5440,ML Int,D11.92,47.58,11.92,1.03,D1217.11,3649.15,1217.11,0.219,12,22,0.28,0.28,164,59.50,,2264,2261,2263,2259,3143,3138,35.0763338,-119.3711721,617.16,,8.625,X52,ERW,1363
MFL,291,,,12721.36,12721.35,5441,ML Int,D1.78,57.72,1.78,0.89,D1206.96,3659.30,1206.96,0.219,10,20,0.28,0.28,142,59.50,,2264,2261,2264,2260,3144,3139,35.0763341,-119.3711384,616.89,,8.625,X52,ERW,1363
MFL,292,2.402,122+82,12723.13,,5442,Weld,D58.81,59.50,58.81,,D1205.19,3661.07,1205.19,0.219,,,,,,58.81,29,,,,,,,35.0763342,-119.3711325,616.83,,8.625,X52,ERW,1363
MFL,292,,,12728.18,12728.17,5443,ML Int,U5.05,5.05,53.76,1.01,D1200.14,3666.12,1200.14,0.219,10,20,0.27,0.27,161,58.81,,2264,2261,2264,2260,3144,3139,35.0763345,-119.3711157,616.63,,8.625,X52,ERW,1363
MFL,292,,,12736.81,12736.80,5444,ML Int,U13.68,13.68,45.14,1.03,D1191.51,3674.75,1191.51,0.219,10,20,0.28,0.28,165,58.81,,2264,2261,2264,2260,3144,3139,35.0763351,-119.3710872,616.20,,8.625,X52,ERW,1363
MFL,292,,,12738.30,12738.12,5445,ML Int Cluster,U15.16,15.16,43.65,1.02,D1190.02,3676.24,1190.02,0.219,14,24,2.28,0.28,163,58.81,,2153,2060,2227,2193,3094,3045,35.0763352,-119.3710821,616.13,,8.625,X52,ERW,1363
MFL,292,,,12738.55,12738.54,5446,ML Int,U15.42,15.42,43.40,1.02,D1189.77,3676.49,1189.77,0.219,12,22,0.28,0.28,163,58.81,,2264,2261,2263,2259,3143,3138,35.0763352,-119.3710813,616.11,,8.625,X52,ERW,1363
MFL,292,,,12739.49,12739.48,5447,ML Int,U16.36,16.36,42.46,1.02,D1188.83,3677.43,1188.83,0.219,11,21,0.28,0.28,163,58.81,,2264,2261,2263,2260,3144,3138,35.0763353,-119.3710782,616.07,,8.625,X52,ERW,1363
MFL,292,,,12741.77,12741.75,5448,ML Int,U18.64,18.64,40.18,1.02,D1186.55,3679.71,1186.55,0.219,13,23,0.35,0.35,163,58.81,,2261,2256,2260,2253,3139,3130,35.0763354,-119.3710706,615.95,,8.625,X52,ERW,1363
MFL,292,,,12742.06,12742.04,5449,ML Int,U18.92,18.92,39.89,1.02,D1186.26,3680.00,1186.26,0.219,11,21,0.27,0.27,163,58.81,,2264,2261,2263,2260,3144,3138,35.0763355,-119.3710696,615.94,,8.625,X52,ERW,1363
MFL,292,,,12743.88,12743.87,5450,ML Int Cluster,U20.75,20.75,38.07,1.02,D1184.44,3681.82,1184.44,0.219,11,21,1.02,0.54,163,58.81,,2235,2201,2248,2229,3123,3095,35.0763356,-119.3710636,615.85,,8.625,X52,ERW,1363
MFL,292,,,12745.30,12745.29,5451,ML Int,U22.17,22.17,36.65,1.02,D1183.02,3683.24,1183.02,0.219,11,21,0.27,0.27,163,58.81,,2264,2261,2264,2260,3144,3138,35.0763357,-119.3710588,615.78,,8.625,X52,ERW,1363
MFL,292,,,12745.42,12745.40,5452,ML Int,U22.28,22.28,36.53,1.02,D1182.91,3683.35,1182.91,0.219,13,23,0.28,0.28,163,58.81,,2263,2260,2263,2259,3143,3137,35.0763357,-119.3710585,615.77,,8.625,X52,ERW,1363
MFL,292,,,12745.55,12745.53,5453,ML Int,U22.42,22.42,36.40,1.02,D1182.77,3683.49,1182.77,0.219,10,20,0.28,0.28,163,58.81,,2264,2261,2264,2260,3144,3139,35.0763357,-119.3710580,615.77,,8.625,X52,ERW,1363
MFL,292,,,12746.12,12746.03,5454,ML Int Cluster,U22.98,22.98,35.83,1.02,D1182.20,3684.06,1182.20,0.219,11,21,1.14,0.28,163,58.81,,2229,2189,2247,2227,3121,3093,35.0763357,-119.3710561,615.74,,8.625,X52,ERW,1363
MFL,292,,,12747.03,12746.96,5455,ML Int Cluster,U23.90,23.90,34.92,1.02,D1181.29,3684.97,1181.29,0.219,10,20,0.90,0.27,163,58.81,,2244,2216,2251,2232,3126,3100,35.0763358,-119.3710532,615.69,,8.625,X52,ERW,1363
MFL,292,,,12747.55,12747.53,5456,ML Int,U24.42,24.42,34.40,1.03,D1180.77,3685.49,1180.77,0.219,10,20,0.27,0.27,165,58.81,,2264,2261,2264,2260,3144,3139,35.0763359,-119.3710514,615.67,,8.625,X52,ERW,1363
MFL,292,,,12747.94,12747.93,5457,ML Int,U24.81,24.81,34.01,1.03,D1180.38,3685.88,1180.38,0.219,10,20,0.27,0.27,164,58.81,,2264,2261,2264,2260,3144,3139,35.0763359,-119.3710502,615.65,,8.625,X52,ERW,1363
MFL,292,,,12748.45,12748.43,5458,ML Int,U25.31,25.31,33.50,1.02,D1179.88,3686.38,1179.88,0.219,10,20,0.28,0.28,163,58.81,,2264,2261,2264,2260,3144,3139,35.0763359,-119.3710484,615.62,,8.625,X52,ERW,1363
MFL,292,,,12748.90,12748.89,5459,ML Int Cluster,U25.77,25.77,33.04,1.02,D1179.42,3686.84,1179.42,0.219,10,20,0.90,0.28,163,58.81,,2243,2216,2250,2232,3126,3100,35.0763359,-119.3710470,615.60,,8.625,X52,ERW,1363
MFL,292,,,12749.22,12749.21,5460,ML Int,U26.09,26.09,32.73,1.03,D1179.10,3687.16,1179.10,0.219,12,22,0.27,0.27,164,58.81,,2264,2261,2263,2259,3143,3138,35.0763360,-119.3710459,615.58,,8.625,X52,ERW,1363
MFL,292,,,12750.17,12750.16,5461,ML Int Cluster,U27.04,27.04,31.77,1.02,D1178.15,3688.11,1178.15,0.219,12,22,0.74,0.27,163,58.81,,2246,2226,2251,2234,3126,3103,35.0763360,-119.3710427,615.54,,8.625,X52,ERW,1363
MFL,292,,,12750.87,12750.86,5462,ML Int,U27.74,27.74,31.08,1.03,D1177.45,3688.81,1177.45,0.219,10,20,0.28,0.28,164,58.81,,2264,2261,2264,2260,3144,3139,35.0763361,-119.3710404,615.50,,8.625,X52,ERW,1363
MFL,292,,,12752.05,12752.03,5463,ML Int,U28.91,28.91,29.90,1.02,D1176.27,3689.99,1176.27,0.219,10,20,0.51,0.51,163,58.81,,2258,2248,2257,2244,3134,3117,35.0763362,-119.3710365,615.44,,8.625,X52,ERW,1363
MFL,292,,,12752.59,12752.58,5464,ML Int,D29.35,29.46,29.35,1.02,D1175.73,3690.53,1175.73,0.219,11,21,0.28,0.28,163,58.81,,2264,2261,2263,2260,3144,3138,35.0763362,-119.3710347,615.42,,8.625,X52,ERW,1363
MFL,292,,,12753.12,12753.11,5465,ML Int,D28.82,29.99,28.82,1.02,D1175.20,3691.06,1175.20,0.219,10,20,0.28,0.28,162,58.81,,2264,2261,2264,2260,3144,3139,35.0763363,-119.3710329,615.39,,8.625,X52,ERW,1363
MFL,292,,,12754.01,12753.99,5466,ML Int,D27.93,30.88,27.93,1.02,D1174.31,3691.95,1174.31,0.219,10,20,0.28,0.28,162,58.81,,2264,2261,2264,2260,3144,3139,35.0763363,-119.3710299,615.35,,8.625,X52,ERW,1363
MFL,292,,,12756.32,12756.30,5467,ML Int,D25.63,33.18,25.63,1.02,D1172.01,3694.25,1172.01,0.219,11,21,0.27,0.27,163,58.81,,2264,2261,2264,2260,3144,3138,35.0763365,-119.3710220,615.23,,8.625,X52,ERW,1363
MFL,292,,,12760.41,12760.40,5468,ML Int,D21.54,37.27,21.54,1.03,D1167.91,3698.35,1167.91,0.219,11,21,0.28,0.28,164,58.81,,2264,2261,2263,2260,3144,3138,35.0763369,-119.3710082,615.03,,8.625,X52,ERW,1363
MFL,292,,,12761.66,12761.65,5469,ML Int,D20.28,38.53,20.28,1.02,D1166.66,3699.60,1166.66,0.219,11,21,0.28,0.28,163,58.81,,2264,2261,2263,2260,3144,3138,35.0763370,-119.3710040,614.97,,8.625,X52,ERW,1363
MFL,292,,,12762.09,12762.08,5470,ML Int,D19.86,38.96,19.86,1.03,D1166.23,3700.03,1166.23,0.219,12,22,0.28,0.28,165,58.81,,2264,2261,2263,2259,3143,3138,35.0763370,-119.3710026,614.95,,8.625,X52,ERW,1363
MFL,292,,,12763.26,12763.25,5471,ML Int,D18.69,40.12,18.69,1.04,D1165.06,3701.20,1165.06,0.219,11,21,0.27,0.27,166,58.81,,2264,2261,2264,2260,3144,3138,35.0763371,-119.3709987,614.90,,8.625,X52,ERW,1363
MFL,292,,,12765.43,12765.42,5472,ML Int,D16.52,42.30,16.52,1.02,D1162.89,3703.37,1162.89,0.219,10,20,0.27,0.27,163,58.81,,2264,2261,2264,2260,3144,3139,35.0763373,-119.3709917,614.79,,8.625,X52,ERW,1363
MFL,292,,,12766.48,12766.47,5473,ML Int,D15.47,43.35,15.47,1.03,D1161.84,3704.42,1161.84,0.219,16,26,0.27,0.27,164,58.81,,2263,2259,2262,2257,3141,3135,35.0763374,-119.3709883,614.74,,8.625,X52,ERW,1363
MFL,292,,,12766.76,12766.74,5474,ML Int Cluster,D15.19,43.62,15.19,1.03,D1161.57,3704.69,1161.57,0.219,10,20,1.45,0.54,165,58.81,,2219,2164,2246,2225,3120,3090,35.0763374,-119.3709873,614.73,,8.625,X52,ERW,1363
MFL,292,,,12767.01,12767.00,5475,ML Int,D14.94,43.87,14.94,1.03,D1161.31,3704.95,1161.31,0.219,10,20,0.28,0.28,164,58.81,,2264,2261,2264,2260,3144,3139,35.0763374,-119.3709865,614.72,,8.625,X52,ERW,1363
MFL,292,,,12767.49,12767.48,5476,ML Int,D14.46,44.36,14.46,1.02,D1160.83,3705.43,1160.83,0.219,11,21,0.28,0.28,163,58.81,,2264,2261,2263,2260,3144,3138,35.0763374,-119.3709849,614.70,,8.625,X52,ERW,1363
MFL,292,,,12768.54,12768.52,5477,ML Int,D13.41,45.40,13.41,1.02,D1159.79,3706.47,1159.79,0.219,11,21,0.28,0.28,163,58.81,,2264,2261,2263,2260,3144,3138,35.0763375,-119.3709814,614.65,,8.625,X52,ERW,1363
MFL,292,,,12769.23,12769.22,5478,ML Int,D12.72,46.10,12.72,1.02,D1159.09,3707.17,1159.09,0.219,14,24,0.27,0.27,163,58.81,,2263,2260,2262,2258,3142,3136,35.0763376,-119.3709791,614.61,,8.625,X52,ERW,1363
MFL,292,,,12769.61,12769.60,5479,ML Int,D12.33,46.48,12.33,1.04,D1158.71,3707.55,1158.71,0.219,10,20,0.27,0.27,166,58.81,,2264,2261,2264,2260,3144,3139,35.0763376,-119.3709778,614.59,,8.625,X52,ERW,1363
MFL,292,,,12770.48,12770.47,5480,ML Int,D11.46,47.35,11.46,1.03,D1157.84,3708.42,1157.84,0.219,17,27,0.27,0.27,165,58.81,,2262,2259,2261,2257,3141,3134,35.0763377,-119.3709750,614.55,,8.625,X52,ERW,1363
MFL,292,,,12771.98,12771.97,5481,ML Int,D9.97,48.85,9.97,1.03,D1156.34,3709.92,1156.34,0.219,10,20,0.28,0.28,164,58.81,,2264,2261,2264,2260,3144,3139,35.0763378,-119.3709700,614.48,,8.625,X52,ERW,1363
MFL,292,,,12772.13,12772.12,5482,ML Int,D9.81,49.00,9.81,1.03,D1156.19,3710.07,1156.19,0.219,11,21,0.27,0.27,165,58.81,,2264,2261,2264,2260,3144,3138,35.0763378,-119.3709695,614.47,,8.625,X52,ERW,1363
MFL,292,,,12772.82,12772.80,5483,ML Int,D9.13,49.68,9.13,1.02,D1155.51,3710.75,1155.51,0.219,10,20,0.27,0.27,163,58.81,,2264,2261,2264,2260,3144,3139,35.0763379,-119.3709672,614.44,,8.625,X52,ERW,1363
MFL,292,,,12773.76,12773.75,5484,ML Int,D8.19,50.62,8.19,1.02,D1154.56,3711.70,1154.56,0.219,11,21,0.27,0.27,163,58.81,,2264,2261,2264,2260,3144,3138,35.0763380,-119.3709642,614.39,,8.625,X52,ERW,1363
MFL,292,,,12774.32,12774.30,5485,ML Int,D7.63,51.18,7.63,1.03,D1154.00,3712.26,1154.00,0.219,10,20,0.28,0.28,164,58.81,,2264,2261,2264,2260,3144,3139,35.0763380,-119.3709623,614.37,,8.625,X52,ERW,1363
MFL,292,,,12774.47,12774.46,5486,ML Int,D7.48,51.34,7.48,1.03,D1153.85,3712.41,1153.85,0.219,10,20,0.28,0.28,164,58.81,,2264,2261,2264,2260,3144,3139,35.0763380,-119.3709618,614.36,,8.625,X52,ERW,1363
MFL,292,,,12775.27,12775.26,5487,ML Int,D6.68,52.14,6.68,1.03,D1153.05,3713.21,1153.05,0.219,10,20,0.28,0.28,164,58.81,,2264,2261,2264,2260,3144,3139,35.0763381,-119.3709591,614.32,,8.625,X52,ERW,1363
MFL,292,,,12776.20,12776.18,5488,ML Int,D5.75,53.07,5.75,1.03,D1152.12,3714.14,1152.12,0.219,10,20,0.27,0.27,165,58.81,,2264,2261,2264,2260,3144,3139,35.0763382,-119.3709560,614.28,,8.625,X52,ERW,1363
MFL,293,2.414,123+41,12781.95,,5489,Weld,U58.81,58.81,59.63,,D1146.37,3719.89,1146.37,0.219,,,,,,59.63,313,,,,,,,35.0763386,-119.3709371,614.00,,8.625,X52,ERW,1363
MFL,293,,,12783.41,12783.20,5490,ML EXT Cluster,U1.46,1.46,58.17,0.64,D1144.91,3721.35,1144.91,0.219,29,39,4.08,4.87,102,59.63,,1895,1747,2048,1930,2844,2680,35.0763387,-119.3709323,613.93,,8.625,X52,ERW,1363
MFL,293,,,12783.71,12783.68,5491,ML EXT,U1.76,1.76,57.87,0.76,D1144.61,3721.65,1144.61,0.219,10,20,0.51,0.51,121,59.63,,2258,2248,2257,2244,3134,3117,35.0763388,-119.3709313,613.92,,8.625,X52,ERW,1363
MFL,293,,,12783.74,12783.72,5492,ML EXT,U1.79,1.79,57.85,0.53,D1144.58,3721.68,1144.58,0.219,12,22,0.28,0.28,84,59.63,,2264,2261,2263,2259,3143,3138,35.0763388,-119.3709313,613.92,,8.625,X52,ERW,1363
MFL,293,,,12784.11,12783.96,5493,ML EXT Cluster,U2.16,2.16,57.47,0.46,D1144.21,3722.05,1144.21,0.219,27,37,2.91,4.23,74,59.63,,1982,1856,2112,2016,2934,2801,35.0763388,-119.3709300,613.90,,8.625,X52,ERW,1363
MFL,293,,,12786.61,12786.59,5494,ML Int,U4.66,4.66,54.98,1.03,D1141.72,3724.54,1141.72,0.219,19,29,0.27,0.27,164,59.63,,2262,2258,2260,2256,3139,3133,35.0763389,-119.3709218,613.78,,8.625,X52,ERW,1363
MFL,293,,,12790.50,12790.49,5495,ML Int,U8.55,8.55,51.09,1.03,D1137.82,3728.44,1137.82,0.219,11,21,0.27,0.27,165,59.63,,2264,2261,2264,2260,3144,3138,35.0763392,-119.3709085,613.59,,8.625,X52,ERW,1363
MFL,293,,,12793.58,12793.56,5496,ML Int,U11.63,11.63,48.00,1.03,D1134.74,3731.52,1134.74,0.219,11,21,0.27,0.27,164,59.63,,2264,2261,2264,2260,3144,3138,35.0763394,-119.3708984,613.45,,8.625,X52,ERW,1363
MFL,293,,,12795.14,12795.12,5497,ML Int,U13.19,13.19,46.45,1.03,D1133.19,3733.07,1133.19,0.219,11,21,0.28,0.28,165,59.63,,2264,2261,2263,2260,3144,3138,35.0763395,-119.3708932,613.38,,8.625,X52,ERW,1363
MFL,293,,,12796.57,12796.56,5498,ML Int,U14.62,14.62,45.01,1.05,D1131.75,3734.51,1131.75,0.219,10,20,0.28,0.28,167,59.63,,2264,2261,2264,2260,3144,3139,35.0763395,-119.3708885,613.31,,8.625,X52,ERW,1363
MFL,293,,,12797.47,12797.46,5499,ML Int,U15.52,15.52,44.11,1.02,D1130.85,3735.41,1130.85,0.219,11,21,0.27,0.27,163,59.63,,2264,2261,2264,2260,3144,3138,35.0763396,-119.3708855,613.27,,8.625,X52,ERW,1363
MFL,293,,,12797.71,12797.69,5500,ML Int,U15.77,15.77,43.87,1.03,D1130.61,3735.65,1130.61,0.219,11,21,0.27,0.27,164,59.63,,2264,2261,2264,2260,3144,3138,35.0763396,-119.3708848,613.26,,8.625,X52,ERW,1363
MFL,293,,,12797.99,12797.90,5501,ML Int Cluster,U16.05,16.05,43.59,1.02,D1130.33,3735.93,1130.33,0.219,11,21,1.30,0.41,163,59.63,,2221,2173,2245,2224,3118,3089,35.0763396,-119.3708839,613.24,,8.625,X52,ERW,1363
MFL,293,,,12798.13,12798.12,5502,ML Int,U16.19,16.19,43.45,1.03,D1130.19,3736.07,1130.19,0.219,11,21,0.28,0.28,165,59.63,,2264,2261,2263,2260,3144,3138,35.0763396,-119.3708834,613.24,,8.625,X52,ERW,1363
MFL,293,,,12798.33,12798.31,5503,ML Int,U16.38,16.38,43.26,1.02,D1130.00,3736.26,1130.00,0.219,24,34,0.28,0.28,162,59.63,,2260,2256,2258,2253,3136,3129,35.0763396,-119.3708827,613.23,,8.625,X52,ERW,1363
MFL,293,,,12798.57,12798.56,5504,ML Int,U16.62,16.62,43.01,1.03,D1129.75,3736.51,1129.75,0.219,11,21,0.28,0.28,165,59.63,,2264,2261,2263,2260,3144,3138,35.0763397,-119.3708819,613.21,,8.625,X52,ERW,1363
MFL,293,,,12798.74,12798.73,5505,ML Int,U16.79,16.79,42.84,1.02,D1129.58,3736.68,1129.58,0.219,11,21,0.27,0.27,163,59.63,,2264,2261,2264,2260,3144,3138,35.0763397,-119.3708813,613.21,,8.625,X52,ERW,1363
MFL,293,,,12799.23,12799.21,5506,ML Int Cluster,U17.28,17.28,42.36,1.03,D1129.10,3737.16,1129.10,0.219,12,22,0.86,0.49,165,59.63,,2240,2214,2242,2217,3114,3080,35.0763397,-119.3708798,613.18,,8.625,X52,ERW,1363
MFL,293,,,12800.21,12800.20,5507,ML Int,U18.26,18.26,41.37,1.05,D1128.11,3738.15,1128.11,0.219,11,21,0.27,0.27,167,59.63,,2264,2261,2264,2260,3144,3138,35.0763398,-119.3708765,613.14,,8.625,X52,ERW,1363
MFL,293,,,12800.44,12800.42,5508,ML Int,U18.49,18.49,41.15,1.02,D1127.89,3738.37,1127.89,0.219,11,21,0.28,0.28,163,59.63,,2264,2261,2263,2260,3144,3138,35.0763398,-119.3708758,613.13,,8.625,X52,ERW,1363
MFL,293,,,12815.55,12815.54,5509,ML Int,D26.03,33.61,26.03,1.02,D1112.77,3753.49,1112.77,0.219,12,22,0.27,0.27,163,59.63,,2264,2261,2263,2259,3143,3138,35.0763404,-119.3708254,612.67,,8.625,X52,ERW,1363
MFL,293,,,12816.13,12816.08,5510,ML Int Cluster,D25.46,34.18,25.46,1.05,D1112.19,3754.07,1112.19,0.219,10,20,1.65,0.41,167,59.63,,2211,2146,2235,2200,3104,3055,35.0763404,-119.3708235,612.66,,8.625,X52,ERW,1363
MFL,293,,,12829.77,12829.77,5511,ML Int,D11.81,47.83,11.81,1.02,D1098.55,3767.71,1098.55,0.219,11,21,0.28,0.28,163,59.63,,2264,2261,2263,2260,3144,3138,35.0763408,-119.3707782,612.47,,8.625,X52,ERW,1363
MFL,293,,,12830.26,12830.25,5512,ML Int,D11.32,48.31,11.32,1.03,D1098.06,3768.20,1098.06,0.219,11,21,0.28,0.28,165,59.63,,2264,2261,2263,2260,3144,3138,35.0763408,-119.3707766,612.47,,8.625,X52,ERW,1363
MFL,293,,,12830.57,12830.56,5513,ML Int,D11.01,48.62,11.01,1.03,D1097.75,3768.51,1097.75,0.219,11,21,0.27,0.27,165,59.63,,2264,2261,2264,2260,3144,3138,35.0763408,-119.3707755,612.47,,8.625,X52,ERW,1363
MFL,293,,,12834.07,12834.05,5514,ML Int Cluster,D7.52,52.12,7.52,1.04,D1094.26,3772.00,1094.26,0.219,11,21,0.79,0.41,166,59.63,,2246,2224,2251,2234,3126,3102,35.0763409,-119.3707631,612.46,,8.625,X52,ERW,1363
MFL,293,,,12834.32,12834.30,5515,ML Int,D7.27,52.37,7.27,1.03,D1094.01,3772.25,1094.01,0.219,10,20,0.27,0.27,164,59.63,,2264,2261,2264,2260,3144,3139,35.0763409,-119.3707622,612.46,,8.625,X52,ERW,1363
MFL,293,,,12834.94,12834.93,5516,ML Int,D6.64,52.99,6.64,1.04,D1093.38,3772.88,1093.38,0.219,12,22,0.27,0.27,166,59.63,,2264,2261,2263,2259,3143,3138,35.0763409,-119.3707599,612.46,,8.625,X52,ERW,1363
