ILI Tool,Pipe Joint Number,Approx. Milepost (miles),Adjstd Map Sta (ft) (CDS),Odometer (ft),Odometer Distance to Peak Depth (ft),Feature Number,Feature Description,Distance to Nearest Weld (ft),Distance to Upstream Weld (ft),Distance to Downstream Weld (ft),Distance to Nearest AGM (ft),Distance to Upstream AGM (ft),Distance to Downstream AGM (ft),WT (in),Max Depth (%),Length (in),Width (in),Oreintation (Degrees),Oreintation Peak Depth (Degrees),Pipe Length (ft),Long Seam Orient. (Degrees),0.85DL Safe MAOP Rating (psig),Eff. Area B31G of API579 Safe MAOP Rating (psig),Eff. Area B31G of API579 Burst Press. Rating (psig),Max Depth + Tolerance (%),0.85DL Safe MAOP Rating + Tolerance (psig),Eff. Area B31G of API579 Safe MAOP Rating + Tolerance (psig),Eff. Area B31G of API579 Burst Press. Rating + Tolerance (psig),Latitude NAD83,Longitude NAD83,Elevation Above Mean Sea Level NAVD88 (ft),Comments,Pipe Size (in),Pipe Grade ,Pipe Type,MOP (psi)
MFL,5090,4.526,238+98,24057.72,24057.73,9486,ML Int ,U2.43,2.43,57.39,D1165.91,3467.51,1165.91,0.219,11,0.23,0.24,186,188,59.82,,2265,2264,3145,21,2263,2262,3141,35.0763886,-119.3336308,563.06,,8.625,X52,ERW,1363
MFL,5090,4.527,239+04,24063.40,24063.41,9487,ML Int ,U8.11,8.11,51.71,D1160.23,3473.19,1160.23,0.219,12,0.27,0.33,144,146,59.82,,2264,2263,3143,22,2261,2259,3138,35.0763887,-119.3336120,563.11,,8.625,X52,ERW,1363
MFL,5090,4.527,239+05,24064.90,24064.91,9488,ML Int Cluster,U9.61,9.61,50.21,D1158.73,3474.69,1158.73,0.219,18,1.21,0.38,146,147,59.82,,2196,2237,3106,28,2146,2215,3077,35.0763887,-119.3336070,563.14,,8.625,X52,ERW,1363
MFL,5090,4.528,239+06,24066.08,24066.09,9489,ML Int ,U10.79,10.79,49.02,D1157.55,3475.87,1157.55,0.219,10,0.27,0.25,148,149,59.82,,2264,2264,3144,20,2261,2260,3139,35.0763887,-119.3336031,563.16,,8.625,X52,ERW,1363
MFL,5090,4.528,239+07,24066.36,24066.37,9490,ML Int ,U11.07,11.07,48.75,D1157.27,3476.15,1157.27,0.219,12,0.27,0.25,151,153,59.82,,2264,2263,3143,22,2261,2259,3138,35.0763887,-119.3336022,563.17,,8.625,X52,ERW,1363
MFL,5090,4.528,239+07,24066.63,24066.64,9491,ML Int ,U11.34,11.34,48.48,D1157.00,3476.42,1157.00,0.219,15,0.27,0.27,146,147,59.82,,2263,2262,3142,25,2259,2258,3136,35.0763887,-119.3336013,563.17,,8.625,X52,ERW,1363
MFL,5090,4.528,239+07,24067.11,24067.13,9492,ML Int ,U11.83,11.83,47.99,D1156.51,3476.91,1156.51,0.219,10,0.27,0.27,151,153,59.82,,2264,2264,3144,20,2261,2260,3139,35.0763887,-119.3335997,563.18,,8.625,X52,ERW,1363
MFL,5090,4.528,239+08,24067.81,24067.82,9493,ML Int ,U12.52,12.52,47.30,D1155.82,3477.60,1155.82,0.219,14,0.27,0.25,153,154,59.82,,2263,2262,3142,24,2260,2258,3136,35.0763887,-119.3335974,563.19,,8.625,X52,ERW,1363
MFL,5090,4.528,239+09,24068.89,24068.90,9494,ML Int ,U13.61,13.61,46.21,D1154.73,3478.69,1154.73,0.219,11,0.27,0.25,148,149,59.82,,2264,2264,3144,21,2261,2260,3138,35.0763887,-119.3335938,563.21,,8.625,X52,ERW,1363
MFL,5090,4.529,239+12,24071.36,24071.37,9495,ML Int Cluster,U16.07,16.07,43.75,D1152.27,3481.15,1152.27,0.219,14,0.86,0.38,148,151,59.82,,2236,2248,3122,24,2208,2229,3096,35.0763887,-119.3335856,563.26,,8.625,X52,ERW,1363
MFL,5090,4.529,239+13,24072.78,24072.79,9496,ML Int Cluster,U17.49,17.49,42.33,D1150.85,3482.57,1150.85,0.219,11,0.90,0.38,151,153,59.82,,2241,2249,3123,21,2213,2230,3098,35.0763887,-119.3335809,563.29,,8.625,X52,ERW,1363
MFL,5090,4.530,239+18,24077.86,24077.87,9497,ML Int ,U22.57,22.57,37.25,D1145.77,3487.65,1145.77,0.219,12,0.27,0.25,149,151,59.82,,2264,2263,3143,22,2261,2259,3138,35.0763888,-119.3335641,563.38,,8.625,X52,ERW,1363
MFL,5090,4.530,239+19,24078.68,24078.70,9498,ML Int ,U23.39,23.39,36.43,D1144.95,3488.47,1144.95,0.219,11,0.31,0.25,148,149,59.82,,2263,2262,3142,21,2259,2257,3135,35.0763888,-119.3335614,563.40,,8.625,X52,ERW,1363
MFL,5090,4.530,239+19,24078.81,24078.82,9499,ML Int ,U23.52,23.52,36.30,D1144.82,3488.60,1144.82,0.219,15,0.27,0.30,147,149,59.82,,2263,2262,3142,25,2259,2258,3136,35.0763888,-119.3335609,563.40,,8.625,X52,ERW,1363
MFL,5090,4.530,239+19,24079.20,24079.21,9500,ML Int ,U23.91,23.91,35.91,D1144.43,3488.99,1144.43,0.219,10,0.23,0.54,147,149,59.82,,2265,2265,3145,20,2263,2262,3141,35.0763888,-119.3335596,563.41,,8.625,X52,ERW,1363
MFL,5090,4.530,239+19,24079.37,24079.42,9501,ML Int Cluster,U24.08,24.08,35.74,D1144.26,3489.16,1144.26,0.219,14,0.82,0.52,148,149,59.82,,2238,2246,3120,24,2212,2228,3095,35.0763888,-119.3335591,563.41,,8.625,X52,ERW,1363
MFL,5090,4.530,239+20,24079.99,24080.00,9502,ML Int ,U24.70,24.70,35.12,D1143.64,3489.78,1143.64,0.219,11,0.27,0.25,148,149,59.82,,2264,2264,3144,21,2261,2260,3138,35.0763888,-119.3335570,563.42,,8.625,X52,ERW,1363
MFL,5090,4.530,239+20,24080.36,24080.37,9503,ML Int ,U25.07,25.07,34.74,D1143.26,3490.16,1143.26,0.219,14,0.27,0.25,153,154,59.82,,2263,2262,3142,24,2260,2258,3136,35.0763888,-119.3335558,563.43,,8.625,X52,ERW,1363
MFL,5090,4.530,239+21,24080.88,24080.89,9504,ML Int Cluster,U25.60,25.60,34.22,D1142.74,3490.68,1142.74,0.219,12,1.45,0.25,148,149,59.82,,2209,2244,3117,22,2153,2223,3087,35.0763888,-119.3335541,563.45,,8.625,X52,ERW,1363
MFL,5090,4.531,239+23,24083.16,24083.17,9505,ML Int ,U27.87,27.87,31.94,D1140.46,3492.96,1140.46,0.219,10,0.31,0.25,148,149,59.82,,2264,2263,3143,20,2260,2258,3136,35.0763888,-119.3335465,563.51,,8.625,X52,ERW,1363
MFL,5090,4.531,239+24,24083.63,24083.64,9506,ML Int ,U28.34,28.34,31.48,D1140.00,3493.42,1140.00,0.219,10,0.27,0.25,151,153,59.82,,2264,2264,3144,20,2261,2260,3139,35.0763888,-119.3335450,563.52,,8.625,X52,ERW,1363
MFL,5090,4.531,239+24,24083.77,24083.78,9507,ML Int ,U28.48,28.48,31.34,D1139.86,3493.56,1139.86,0.219,12,0.27,0.25,148,149,59.82,,2264,2263,3143,22,2261,2259,3138,35.0763888,-119.3335445,563.53,,8.625,X52,ERW,1363
MFL,5090,4.531,239+26,24086.47,24086.48,9508,ML Int ,D28.64,31.18,28.64,D1137.16,3496.26,1137.16,0.219,13,0.27,0.25,151,153,59.82,,2264,2263,3143,23,2260,2259,3137,35.0763888,-119.3335356,563.61,,8.625,X52,ERW,1363
MFL,5090,4.533,239+32,24091.75,24091.77,9509,ML Int Cluster,D23.35,36.46,23.35,D1131.87,3501.55,1131.87,0.219,16,0.27,0.53,147,149,59.82,,2263,2262,3141,26,2259,2257,3135,35.0763888,-119.3335181,563.75,,8.625,X52,ERW,1363
MFL,5090,4.533,239+32,24092.04,24092.05,9510,ML Int ,D23.07,36.75,23.07,D1131.59,3501.83,1131.59,0.219,15,0.27,0.27,154,156,59.82,,2263,2262,3142,25,2259,2258,3136,35.0763888,-119.3335172,563.76,,8.625,X52,ERW,1363
MFL,5090,4.533,239+33,24092.55,24092.56,9511,ML Int ,D22.56,37.26,22.56,D1131.08,3502.34,1131.08,0.219,11,0.27,0.25,162,164,59.82,,2264,2264,3144,21,2261,2260,3138,35.0763888,-119.3335155,563.78,,8.625,X52,ERW,1363
MFL,5090,4.533,239+33,24092.93,24092.94,9512,ML Int ,D22.18,37.64,22.18,D1130.70,3502.72,1130.70,0.219,11,0.27,0.25,148,149,59.82,,2264,2264,3144,21,2261,2260,3138,35.0763888,-119.3335142,563.79,,8.625,X52,ERW,1363
MFL,5090,4.533,239+34,24093.70,24093.71,9513,ML Int ,D21.40,38.41,21.40,D1129.93,3503.49,1129.93,0.219,16,0.27,0.25,151,153,59.82,,2263,2262,3141,26,2259,2257,3135,35.0763888,-119.3335117,563.81,,8.625,X52,ERW,1363
MFL,5090,4.533,239+34,24094.50,24094.52,9514,ML Int Cluster,D20.60,39.22,20.60,D1129.12,3504.30,1129.12,0.219,16,0.90,1.06,148,156,59.82,,2228,2233,3101,26,2197,2201,3056,35.0763888,-119.3335090,563.83,,8.625,X52,ERW,1363
MFL,5090,4.533,239+35,24094.98,24094.99,9515,ML Int ,D20.13,39.69,20.13,D1128.65,3504.77,1128.65,0.219,17,0.27,0.25,155,156,59.82,,2262,2261,3141,27,2259,2257,3134,35.0763888,-119.3335074,563.85,,8.625,X52,ERW,1363
MFL,5090,4.533,239+36,24095.67,24095.68,9516,ML Int ,D19.44,40.38,19.44,D1127.96,3505.46,1127.96,0.219,10,0.23,0.23,151,153,59.82,,2265,2265,3145,20,2263,2262,3141,35.0763888,-119.3335051,563.87,,8.625,X52,ERW,1363
MFL,5090,4.533,239+36,24096.37,24096.38,9517,ML Int Cluster,D18.73,41.08,18.73,D1127.26,3506.16,1127.26,0.219,14,0.55,0.52,148,149,59.82,,2253,2251,3126,24,2240,2235,3104,35.0763888,-119.3335028,563.89,,8.625,X52,ERW,1363
MFL,5090,4.534,239+37,24096.84,24096.85,9518,ML Int Cluster,D18.27,41.55,18.27,D1126.79,3506.63,1126.79,0.219,11,0.35,0.52,148,149,59.82,,2262,2261,3141,21,2257,2255,3132,35.0763888,-119.3335013,563.90,,8.625,X52,ERW,1363
MFL,5090,4.534,239+37,24096.96,24096.97,9519,ML Int ,D18.14,41.67,18.14,D1126.67,3506.75,1126.67,0.219,11,0.23,0.27,153,153,59.82,,2265,2264,3145,21,2263,2262,3141,35.0763888,-119.3335009,563.90,,8.625,X52,ERW,1363
MFL,5090,4.534,239+38,24097.69,24097.72,9520,ML Int Cluster,D17.42,42.40,17.42,D1125.94,3507.48,1125.94,0.219,11,0.51,0.92,146,147,59.82,,2258,2256,3133,21,2247,2243,3115,35.0763888,-119.3334985,563.92,,8.625,X52,ERW,1363
MFL,5090,4.534,239+38,24098.11,24098.12,9521,ML Int ,D16.99,42.82,16.99,D1125.51,3507.91,1125.51,0.219,10,0.23,0.27,151,153,59.82,,2265,2265,3145,20,2263,2262,3141,35.0763888,-119.3334971,563.93,,8.625,X52,ERW,1363
MFL,5090,4.534,239+38,24098.30,24098.31,9522,ML Int Cluster,D16.81,43.01,16.81,D1125.33,3508.09,1125.33,0.219,11,1.37,0.37,151,153,59.82,,2218,2246,3120,21,2166,2227,3092,35.0763888,-119.3334964,563.94,,8.625,X52,ERW,1363
MFL,5090,4.534,239+39,24098.73,24098.74,9523,ML Int ,D16.37,43.44,16.37,D1124.90,3508.52,1124.90,0.219,10,0.23,0.27,153,154,59.82,,2265,2265,3145,20,2263,2262,3141,35.0763888,-119.3334950,563.95,,8.625,X52,ERW,1363
MFL,5090,4.534,239+40,24100.12,24100.13,9524,ML Int ,D14.99,44.83,14.99,D1123.51,3509.91,1123.51,0.219,11,0.23,0.23,153,154,59.82,,2265,2264,3145,21,2262,2262,3141,35.0763888,-119.3334904,563.99,,8.625,X52,ERW,1363
MFL,5090,4.534,239+41,24100.69,24100.70,9525,ML Int ,D14.42,45.40,14.42,D1122.94,3510.48,1122.94,0.219,11,0.23,0.23,153,154,59.82,,2265,2264,3145,21,2262,2262,3141,35.0763888,-119.3334885,564.01,,8.625,X52,ERW,1363
MFL,5090,4.534,239+42,24102.16,24102.18,9526,ML Int ,D12.94,46.88,12.94,D1121.46,3511.96,1121.46,0.219,10,0.23,0.23,153,154,59.82,,2265,2265,3145,20,2263,2262,3141,35.0763888,-119.3334836,564.05,,8.625,X52,ERW,1363
MFL,5090,4.535,239+43,24102.84,24102.85,9527,ML Int ,D12.27,47.55,12.27,D1120.79,3512.63,1120.79,0.219,11,0.23,0.23,153,154,59.82,,2265,2264,3145,21,2263,2262,3141,35.0763888,-119.3334814,564.07,,8.625,X52,ERW,1363
MFL,5100,4.537,239+55,24115.11,,9528,Weld,D58.11,59.82,58.11,D1108.52,3524.90,1108.52,0.219,,,,,,58.11,312,,,,,,,,35.0763889,-119.3334408,564.38,,8.625,X52,ERW,1363
MFL,5100,4.540,239+70,24130.01,24130.01,9529,ML Ext ,U14.90,14.90,43.21,D1093.62,3539.80,1093.62,0.219,12,0.27,0.32,111,114,58.11,,2264,2263,3143,22,2261,2259,3138,35.0763889,-119.3333915,564.53,,8.625,X52,ERW,1363
MFL,5100,4.541,239+74,24134.53,24134.54,9530,ML Int ,U19.42,19.42,38.69,D1089.10,3544.32,1089.10,0.219,16,0.27,0.25,148,149,58.11,,2263,2262,3141,26,2259,2257,3135,35.0763890,-119.3333765,564.56,,8.625,X52,ERW,1363
MFL,5100,4.541,239+76,24136.38,24136.38,9531,ML Int ,U21.27,21.27,36.84,D1087.25,3546.17,1087.25,0.219,11,0.27,0.40,147,149,58.11,,2264,2264,3144,21,2261,2260,3138,35.0763890,-119.3333704,564.58,,8.625,X52,ERW,1363
MFL,5100,4.541,239+77,24137.49,24137.51,9532,ML Int ,U22.39,22.39,35.73,D1086.13,3547.29,1086.13,0.219,14,0.27,0.25,148,149,58.11,,2263,2262,3142,24,2260,2258,3136,35.0763890,-119.3333667,564.58,,8.625,X52,ERW,1363
MFL,5100,4.541,239+77,24137.71,24137.72,9533,ML Int ,U22.60,22.60,35.51,D1085.92,3547.50,1085.92,0.219,11,0.27,0.40,147,149,58.11,,2264,2264,3144,21,2261,2260,3138,35.0763890,-119.3333660,564.59,,8.625,X52,ERW,1363
MFL,5100,4.542,239+80,24140.18,24140.19,9534,ML Int ,U25.07,25.07,33.04,D1083.45,3549.97,1083.45,0.219,13,0.27,0.27,147,149,58.11,,2264,2263,3143,23,2260,2259,3137,35.0763890,-119.3333578,564.60,,8.625,X52,ERW,1363
MFL,5100,4.542,239+82,24142.02,24142.03,9535,ML Int ,U26.92,26.92,31.19,D1081.60,3551.82,1081.60,0.219,11,0.27,0.25,148,149,58.11,,2264,2264,3144,21,2261,2260,3138,35.0763890,-119.3333517,564.62,,8.625,X52,ERW,1363
MFL,5100,4.543,239+85,24145.61,24145.62,9536,ML Int ,D27.61,30.50,27.61,D1078.02,3555.40,1078.02,0.219,11,0.27,0.40,147,149,58.11,,2264,2264,3144,21,2261,2260,3138,35.0763890,-119.3333398,564.64,,8.625,X52,ERW,1363
MFL,5100,4.544,239+90,24150.32,24150.33,9537,ML Int ,D22.90,35.22,22.90,D1073.30,3560.12,1073.30,0.219,17,0.27,0.25,146,147,58.11,,2262,2261,3141,27,2259,2257,3134,35.0763891,-119.3333242,564.67,,8.625,X52,ERW,1363
MFL,5100,4.544,239+91,24151.92,24151.93,9538,ML Int ,D21.30,36.82,21.30,D1071.70,3561.72,1071.70,0.219,10,0.23,0.40,147,149,58.11,,2265,2265,3145,20,2263,2262,3141,35.0763891,-119.3333189,564.68,,8.625,X52,ERW,1363
MFL,5100,4.544,239+94,24154.60,24154.61,9539,ML Int ,D18.62,39.49,18.62,D1069.03,3564.39,1069.03,0.219,11,0.27,0.25,148,149,58.11,,2264,2264,3144,21,2261,2260,3138,35.0763891,-119.3333100,564.71,,8.625,X52,ERW,1363
MFL,5100,4.545,239+95,24155.25,24155.27,9540,ML Int ,D17.96,40.15,17.96,D1068.37,3565.05,1068.37,0.219,12,0.27,0.25,148,149,58.11,,2264,2263,3143,22,2261,2259,3138,35.0763891,-119.3333079,564.72,,8.625,X52,ERW,1363
MFL,5100,4.545,239+96,24156.33,24156.34,9541,ML Int Cluster,D16.89,41.23,16.89,D1067.30,3566.12,1067.30,0.219,13,1.33,0.38,146,149,58.11,,2210,2243,3115,23,2159,2221,3085,35.0763891,-119.3333043,564.73,,8.625,X52,ERW,1363
MFL,5100,4.545,239+96,24156.87,24156.88,9542,ML Int ,D16.34,41.77,16.34,D1066.75,3566.67,1066.75,0.219,12,0.27,0.25,146,147,58.11,,2264,2263,3143,22,2261,2259,3138,35.0763891,-119.3333025,564.74,,8.625,X52,ERW,1363
MFL,5100,4.545,239+97,24157.61,24157.62,9543,ML Int ,D15.60,42.51,15.60,D1066.01,3567.41,1066.01,0.219,10,0.23,0.27,147,149,58.11,,2265,2265,3145,20,2263,2262,3141,35.0763891,-119.3333000,564.75,,8.625,X52,ERW,1363
MFL,5100,4.545,239+99,24159.86,24159.87,9544,ML Int ,D13.36,44.76,13.36,D1063.76,3569.66,1063.76,0.219,11,0.27,0.40,149,151,58.11,,2264,2264,3144,21,2261,2260,3138,35.0763892,-119.3332926,564.78,,8.625,X52,ERW,1363
MFL,5100,4.545,240+00,24160.51,24160.52,9545,ML Int ,D12.71,45.40,12.71,D1063.12,3570.30,1063.12,0.219,12,0.27,0.25,151,153,58.11,,2264,2263,3143,22,2261,2259,3138,35.0763892,-119.3332905,564.79,,8.625,X52,ERW,1363
MFL,5100,4.546,240+05,24165.79,24165.80,9546,ML Int Cluster,D7.43,50.69,7.43,D1057.83,3575.59,1057.83,0.219,13,0.27,0.79,146,154,58.11,,2263,2263,3143,23,2260,2259,3137,35.0763893,-119.3332730,564.87,,8.625,X52,ERW,1363
MFL,5100,4.546,240+05,24166.15,24166.16,9547,ML Int ,D7.07,51.04,7.07,D1057.48,3575.94,1057.48,0.219,11,0.27,0.25,151,153,58.11,,2264,2264,3144,21,2261,2260,3138,35.0763893,-119.3332718,564.88,,8.625,X52,ERW,1363
MFL,5100,4.547,240+07,24168.10,24168.11,9548,ML Int ,D5.11,53.00,5.11,D1055.52,3577.90,1055.52,0.219,12,0.27,0.27,147,147,58.11,,2264,2263,3143,22,2261,2259,3138,35.0763893,-119.3332653,564.91,,8.625,X52,ERW,1363
MFL,5100,4.547,240+08,24168.62,24168.63,9549,ML Int ,D4.60,53.51,4.60,D1055.01,3578.41,1055.01,0.219,13,0.27,0.25,151,153,58.11,,2264,2263,3143,23,2260,2259,3137,35.0763893,-119.3332636,564.91,,8.625,X52,ERW,1363
MFL,5100,4.547,240+08,24168.82,24168.83,9550,ML Int ,D4.40,53.72,4.40,D1054.81,3578.61,1054.81,0.219,16,0.27,0.25,148,149,58.11,,2263,2262,3141,26,2259,2257,3135,35.0763893,-119.3332629,564.92,,8.625,X52,ERW,1363
MFL,5100,4.547,240+08,24169.06,24169.08,9551,ML Int Cluster,D4.16,53.95,4.16,D1054.57,3578.85,1054.57,0.219,13,0.35,0.52,148,149,58.11,,2261,2260,3140,23,2256,2254,3130,35.0763894,-119.3332621,564.92,,8.625,X52,ERW,1363
MFL,5100,4.547,240+09,24170.12,24170.13,9552,ML Int ,D3.10,55.02,3.10,D1053.50,3579.91,1053.50,0.219,11,0.27,0.25,148,149,58.11,,2264,2264,3144,21,2261,2260,3138,35.0763894,-119.3332586,564.94,,8.625,X52,ERW,1363
MFL,5100,4.547,240+10,24170.28,24170.29,9553,ML Int ,D2.94,55.18,2.94,D1053.35,3580.07,1053.35,0.219,10,0.23,0.38,149,153,58.11,,2265,2265,3145,20,2263,2262,3141,35.0763894,-119.3332581,564.94,,8.625,X52,ERW,1363
MFL,5100,4.547,240+10,24170.68,24170.70,9554,ML Int Cluster,D2.54,55.57,2.54,D1052.95,3580.47,1052.95,0.219,16,1.21,1.05,144,156,58.11,,2205,2223,3087,26,2157,2186,3037,35.0763894,-119.3332568,564.94,,8.625,X52,ERW,1363
MFL,5100,4.547,240+10,24170.97,24170.98,9555,ML Int Cluster,D2.25,55.86,2.25,D1052.66,3580.76,1052.66,0.219,11,1.21,0.65,148,149,58.11,,2226,2247,3121,21,2182,2226,3092,35.0763894,-119.3332558,564.95,,8.625,X52,ERW,1363
MFL,5100,4.548,240+11,24171.52,24171.53,9556,ML Int ,D1.70,56.41,1.70,D1052.11,3581.31,1052.11,0.219,14,0.27,0.25,153,154,58.11,,2263,2262,3142,24,2260,2258,3136,35.0763894,-119.3332540,564.96,,8.625,X52,ERW,1363
MFL,5100,4.548,240+11,24171.77,24171.79,9557,ML Int ,D1.44,56.67,1.44,D1051.85,3581.57,1051.85,0.219,15,0.27,0.25,148,149,58.11,,2263,2262,3142,25,2259,2258,3136,35.0763894,-119.3332532,564.96,,8.625,X52,ERW,1363
MFL,5100,4.548,240+11,24171.92,24171.93,9558,ML Int ,D1.30,56.81,1.30,D1051.71,3581.71,1051.71,0.219,10,0.23,0.23,148,149,58.11,,2265,2265,3145,20,2263,2262,3141,35.0763894,-119.3332527,564.96,,8.625,X52,ERW,1363
MFL,5110,4.548,240+12,24173.22,,9559,Weld,U58.11,58.11,59.55,D1050.41,3583.01,1050.41,0.219,,,,,,59.55,14,,,,,,,,35.0763894,-119.3332484,564.98,,8.625,X52,ERW,1363
MFL,5110,4.549,240+17,24178.09,24178.10,9560,ML Int Cluster,U4.87,4.87,54.67,D1045.54,3587.88,1045.54,0.219,13,1.09,0.25,151,153,59.55,,2224,2246,3119,23,2185,2226,3091,35.0763895,-119.3332322,565.05,,8.625,X52,ERW,1363
MFL,5110,4.549,240+21,24181.99,24182.00,9561,ML Int ,U8.77,8.77,50.78,D1041.64,3591.78,1041.64,0.219,11,0.27,0.25,148,149,59.55,,2264,2264,3144,21,2261,2260,3138,35.0763896,-119.3332193,565.11,,8.625,X52,ERW,1363
MFL,5110,4.551,240+29,24189.62,24189.63,9562,ML Int Cluster,U16.40,16.40,43.15,D1034.01,3599.41,1034.01,0.219,14,0.39,0.79,146,154,59.55,,2259,2258,3136,24,2253,2250,3124,35.0763898,-119.3331941,565.19,,8.625,X52,ERW,1363
MFL,5110,4.552,240+33,24193.49,24193.50,9563,ML Int ,U20.28,20.28,39.27,D1030.13,3603.29,1030.13,0.219,11,0.27,0.25,148,149,59.55,,2264,2264,3144,21,2261,2260,3138,35.0763899,-119.3331812,565.22,,8.625,X52,ERW,1363
MFL,5110,4.552,240+34,24194.54,24194.55,9564,ML Int Cluster,U21.32,21.32,38.22,D1029.09,3604.33,1029.09,0.219,12,0.31,0.52,148,149,59.55,,2263,2262,3142,22,2259,2257,3134,35.0763899,-119.3331778,565.23,,8.625,X52,ERW,1363
MFL,5110,4.552,240+34,24195.10,24195.11,9565,ML Int ,U21.88,21.88,37.66,D1028.53,3604.89,1028.53,0.219,13,0.27,0.25,148,149,59.55,,2263,2263,3143,23,2260,2259,3137,35.0763899,-119.3331759,565.24,,8.625,X52,ERW,1363
MFL,5110,4.552,240+36,24197.34,24197.35,9566,ML Int ,U24.12,24.12,35.43,D1026.29,3607.13,1026.29,0.219,14,0.27,0.25,146,147,59.55,,2263,2262,3142,24,2260,2258,3136,35.0763900,-119.3331685,565.25,,8.625,X52,ERW,1363
MFL,5110,4.553,240+42,24202.64,24202.66,9567,ML Int ,U29.43,29.43,30.12,D1020.98,3612.44,1020.98,0.219,11,0.23,0.27,147,149,59.55,,2265,2264,3145,21,2263,2262,3141,35.0763901,-119.3331509,565.30,,8.625,X52,ERW,1363
MFL,5110,4.554,240+44,24204.67,24204.67,9568,ML Int ,D28.10,31.45,28.10,D1018.96,3614.46,1018.96,0.219,13,0.27,0.25,148,149,59.55,,2263,2263,3143,23,2260,2259,3137,35.0763902,-119.3331442,565.36,,8.625,X52,ERW,1363
MFL,5110,4.554,240+45,24205.59,24205.60,9569,ML Int Cluster,D27.18,32.37,27.18,D1018.04,3615.38,1018.04,0.219,11,0.90,0.40,146,149,59.55,,2241,2252,3128,21,2213,2237,3107,35.0763902,-119.3331412,565.38,,8.625,X52,ERW,1363
MFL,5110,4.554,240+45,24206.29,24206.30,9570,ML Int ,D26.47,33.08,26.47,D1017.33,3616.09,1017.33,0.219,11,0.23,0.23,148,149,59.55,,2265,2264,3145,21,2263,2262,3141,35.0763902,-119.3331389,565.41,,8.625,X52,ERW,1363
MFL,5110,4.554,240+46,24206.72,24206.73,9571,ML Int ,D26.04,33.50,26.04,D1016.90,3616.51,1016.90,0.219,11,0.27,0.25,151,153,59.55,,2264,2264,3144,21,2261,2260,3138,35.0763902,-119.3331374,565.42,,8.625,X52,ERW,1363
MFL,5110,4.554,240+46,24207.50,24207.51,9572,ML Int ,D25.26,34.28,25.26,D1016.13,3617.29,1016.13,0.219,12,0.27,0.25,146,147,59.55,,2264,2263,3143,22,2261,2259,3138,35.0763903,-119.3331349,565.44,,8.625,X52,ERW,1363
MFL,5110,4.554,240+47,24208.01,24208.02,9573,ML Int ,D24.75,34.79,24.75,D1015.61,3617.81,1015.61,0.219,11,0.27,0.25,148,149,59.55,,2264,2264,3144,21,2261,2260,3138,35.0763903,-119.3331332,565.46,,8.625,X52,ERW,1363
MFL,5110,4.554,240+47,24208.39,24208.41,9574,ML Int ,D24.37,35.18,24.37,D1015.23,3618.19,1015.23,0.219,10,0.23,0.23,148,149,59.55,,2265,2265,3145,20,2263,2262,3141,35.0763903,-119.3331319,565.47,,8.625,X52,ERW,1363
MFL,5110,4.555,240+48,24209.50,24209.51,9575,ML Int ,D23.26,36.28,23.26,D1014.12,3619.30,1014.12,0.219,11,0.23,0.23,148,149,59.55,,2265,2264,3145,21,2262,2262,3141,35.0763903,-119.3331282,565.50,,8.625,X52,ERW,1363
MFL,5110,4.555,240+49,24209.73,24209.75,9576,ML Int ,D23.03,36.52,23.03,D1013.89,3619.53,1013.89,0.219,11,0.23,0.23,148,149,59.55,,2265,2264,3145,21,2262,2262,3141,35.0763903,-119.3331275,565.51,,8.625,X52,ERW,1363
MFL,5110,4.555,240+51,24212.62,24212.63,9577,ML Int ,D20.14,39.40,20.14,D1011.00,3622.41,1011.00,0.219,13,0.27,0.25,151,153,59.55,,2264,2263,3143,23,2260,2259,3137,35.0763904,-119.3331179,565.59,,8.625,X52,ERW,1363
MFL,5110,4.555,240+53,24213.68,24213.77,9578,ML Int Cluster,D19.08,40.47,19.08,D1009.94,3623.48,1009.94,0.219,12,1.13,0.38,146,147,59.55,,2226,2245,3117,22,2185,2224,3089,35.0763905,-119.3331144,565.62,,8.625,X52,ERW,1363
MFL,5110,4.556,240+55,24216.22,24216.23,9579,ML Int ,D16.54,43.01,16.54,D1007.40,3626.02,1007.40,0.219,10,0.23,0.23,148,149,59.55,,2265,2265,3145,20,2263,2262,3141,35.0763906,-119.3331060,565.70,,8.625,X52,ERW,1363
MFL,5110,4.557,240+59,24220.31,24220.32,9580,ML Int ,D12.46,47.09,12.46,D1003.32,3630.10,1003.32,0.219,10,0.23,0.23,148,149,59.55,,2265,2265,3145,20,2263,2262,3141,35.0763907,-119.3330925,565.82,,8.625,X52,ERW,1363
MFL,5110,4.557,240+60,24220.93,24220.94,9581,ML Int ,D11.83,47.72,11.83,D1002.69,3630.73,1002.69,0.219,13,0.27,0.25,151,153,59.55,,2264,2263,3143,23,2260,2259,3137,35.0763907,-119.3330904,565.84,,8.625,X52,ERW,1363
MFL,5110,4.557,240+60,24221.34,24221.35,9582,ML Int Cluster,D11.42,48.12,11.42,D1002.29,3631.13,1002.29,0.219,12,3.05,0.79,146,149,59.55,,2145,2211,3071,22,2033,2156,2995,35.0763907,-119.3330891,565.85,,8.625,X52,ERW,1363
