BHIIdentifier,PipelineFeature,INTEXTIDOD,Odometerft,DistancetoNextPipelineFeatureft,WTin,PipeGradepsi,PipeDescription,PipeDiameterin,MOPpsi,Depth,Depthin,Lengthin,Widthin,OClockOrientationhhmm,mB31GBurstpsi,ERF,EffDepth,EffLengthin,EffAreaBurstpsi,UpstreamUSReferenceName,DistanceToUSReferenceft,DownstreamDSReferenceName,DistanceFromDSReferenceft,DistancetoUSWeldft,DistancetoDSWeldft,Length2ndUSJointft,LengthUSJointft,LengthDefectJointft,DefectJointNumber,LengthDSJointft,Length2ndDSJointft,XYZInformationNAD83Latitude,XYZInformationNAD83Longitude,XYZInformationNAVD88Elevationft,Comments
GWD 9050,Girth Weld,,28253.56,42.17,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 9,457.44,AGM 10,2747.65,42.76,42.17,42.06,42.76,42.17,9050,40.23,41.51,33.7409639,-118.0068154,28.17,
GWD 9060,Girth Weld,,28295.73,40.23,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 9,499.61,AGM 10,2705.48,42.17,40.23,42.76,42.17,40.23,9060,41.51,40.67,33.7410801,-118.0068169,28.55,
GWD 9070,Girth Weld,,28335.96,41.51,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 9,539.84,AGM 10,2665.24,40.23,41.51,42.17,40.23,41.51,9070,40.67,38.92,33.7411909,-118.0068181,28.21,
GWD 9080,Girth Weld,,28377.47,40.67,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 9,581.35,AGM 10,2623.73,41.51,40.67,40.23,41.51,40.67,9080,38.92,38.37,33.7413053,-118.0068200,27.29,
GWD 9090,Girth Weld,,28418.15,38.92,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 9,622.03,AGM 10,2583.06,40.67,38.92,41.51,40.67,38.92,9090,38.37,40.16,33.7414174,-118.0068216,26.51,
GWD 9100,Girth Weld,,28457.06,38.37,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 9,660.94,AGM 10,2544.14,38.92,38.37,40.67,38.92,38.37,9100,40.16,40.48,33.7415246,-118.0068230,26.11,
GWD 9110,Girth Weld,,28495.43,40.16,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 9,699.31,AGM 10,2505.78,38.37,40.16,38.92,38.37,40.16,9110,40.48,29.35,33.7416303,-118.0068250,26.09,
GWD 9120,Girth Weld,,28535.59,40.48,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 9,739.47,AGM 10,2465.61,40.16,40.48,38.37,40.16,40.48,9120,29.35,39.66,33.7417409,-118.0068271,25.61,
GWD 9130,Girth Weld,,28576.07,29.35,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 9,779.95,AGM 10,2425.14,40.48,29.35,40.16,40.48,29.35,9130,39.66,28.15,33.7418524,-118.0068280,25.88,
GWD 9140,Girth Weld,,28605.42,39.66,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 9,809.30,AGM 10,2395.78,29.35,39.66,40.48,29.35,39.66,9140,28.15,41.69,33.7419333,-118.0068283,26.15,
GWD 9150,Girth Weld,,28645.09,28.15,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 9,848.96,AGM 10,2356.12,39.66,28.15,29.35,39.66,28.15,9150,41.69,40.53,33.7420425,-118.0068291,26.84,
GWD 9160,Girth Weld,,28673.24,41.69,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 9,877.11,AGM 10,2327.97,28.15,41.69,39.66,28.15,41.69,9160,40.53,33.03,33.7421200,-118.0068302,27.23,
GWD 9170,Girth Weld,,28714.93,40.53,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 9,918.80,AGM 10,2286.28,41.69,40.53,28.15,41.69,40.53,9170,33.03,41.78,33.7422348,-118.0068322,27.58,
GWD 9180,Girth Weld,,28755.46,33.03,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 9,959.34,AGM 10,2245.75,40.53,33.03,41.69,40.53,33.03,9180,41.78,42.49,33.7423464,-118.0068341,28.02,
GWD 9190,Girth Weld,,28788.49,41.78,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 9,992.37,AGM 10,2212.72,33.03,41.78,40.53,33.03,41.78,9190,42.49,41.46,33.7424374,-118.0068354,28.16,
GWD 9200,Girth Weld,,28830.27,42.49,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 9,1034.14,AGM 10,2170.94,41.78,42.49,33.03,41.78,42.49,9200,41.46,41.17,33.7425525,-118.0068367,27.90,
GWD 9210,Girth Weld,,28872.76,41.46,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 9,1076.64,AGM 10,2128.45,42.49,41.46,41.78,42.49,41.46,9210,41.17,40.45,33.7426696,-118.0068386,27.86,
GWD 9220,Girth Weld,,28914.22,41.17,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 9,1118.10,AGM 10,2086.98,41.46,41.17,42.49,41.46,41.17,9220,40.45,41.37,33.7427838,-118.0068402,27.73,
GWD 9230,Girth Weld,,28955.40,40.45,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 9,1159.28,AGM 10,2045.81,41.17,40.45,41.46,41.17,40.45,9230,41.37,41.49,33.7428972,-118.0068416,27.68,
GWD 9240,Girth Weld,,28995.84,41.37,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 9,1199.72,AGM 10,2005.36,40.45,41.37,41.17,40.45,41.37,9240,41.49,43.06,33.7430086,-118.0068432,27.79,
GWD 9250,Girth Weld,,29037.22,41.49,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 9,1241.10,AGM 10,1963.99,41.37,41.49,40.45,41.37,41.49,9250,43.06,42.45,33.7431226,-118.0068450,27.96,
GWD 9260,Girth Weld,,29078.70,43.06,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 9,1282.58,AGM 10,1922.50,41.49,43.06,41.37,41.49,43.06,9260,42.45,38.37,33.7432368,-118.0068465,28.36,
GWD 9270,Girth Weld,,29121.77,42.45,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 9,1325.65,AGM 10,1879.44,43.06,42.45,41.49,43.06,42.45,9270,38.37,37.75,33.7433554,-118.0068480,28.65,
GWD 9280,Girth Weld,,29164.22,38.37,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 9,1368.10,AGM 10,1836.99,42.45,38.37,43.06,42.45,38.37,9280,37.75,40.57,33.7434724,-118.0068496,28.56,
GWD 9290,Girth Weld,,29202.59,37.75,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 9,1406.46,AGM 10,1798.62,38.37,37.75,42.45,38.37,37.75,9290,40.57,40.93,33.7435781,-118.0068518,28.16,
GWD 9300,Girth Weld,,29240.33,40.57,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 9,1444.21,AGM 10,1760.87,37.75,40.57,38.37,37.75,40.57,9300,40.93,37.55,33.7436820,-118.0068538,28.64,
GWD 9310,Girth Weld,,29280.91,40.93,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 9,1484.79,AGM 10,1720.30,40.57,40.93,37.75,40.57,40.93,9310,37.55,41.50,33.7437938,-118.0068551,28.58,
GWD 9320,Girth Weld,,29321.84,37.55,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 9,1525.72,AGM 10,1679.37,40.93,37.55,40.57,40.93,37.55,9320,41.50,9.18,33.7439065,-118.0068573,28.98,
GWD 9330,Girth Weld,,29359.39,41.50,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 9,1563.26,AGM 10,1641.82,37.55,41.50,40.93,37.55,41.50,9330,9.18,39.85,33.7440099,-118.0068603,28.92,
GWD 9340,Girth Weld,,29400.88,9.18,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 9,1604.76,AGM 10,1600.33,41.50,9.18,37.55,41.50,9.18,9340,39.85,2.99,33.7441242,-118.0068645,28.61,
GWD 9350,Girth Weld,,29410.07,39.85,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 9,1613.94,AGM 10,1591.14,9.18,39.85,41.50,9.18,39.85,9350,2.99,36.61,33.7441495,-118.0068653,28.68,
GWD 9360,Girth Weld,,29449.92,2.99,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 9,1653.79,AGM 10,1551.29,39.85,2.99,9.18,39.85,2.99,9360,36.61,31.58,33.7442592,-118.0068677,29.29,
GWD 9370,Girth Weld,,29452.91,36.61,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 9,1656.78,AGM 10,1548.30,2.99,36.61,39.85,2.99,36.61,9370,31.58,42.62,33.7442674,-118.0068679,29.32,
GWD 9380,Girth Weld,,29489.52,31.58,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 9,1693.40,AGM 10,1511.69,36.61,31.58,2.99,36.61,31.58,9380,42.62,42.33,33.7443682,-118.0068697,29.89,
GWD 9390,Girth Weld,,29521.10,42.62,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 9,1724.98,AGM 10,1480.11,31.58,42.62,36.61,31.58,42.62,9390,42.33,42.77,33.7444552,-118.0068706,30.50,
GWD 9400,Girth Weld,,29563.72,42.33,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 9,1767.59,AGM 10,1437.49,42.62,42.33,31.58,42.62,42.33,9400,42.77,30.03,33.7445726,-118.0068714,30.59,
GWD 9410,Girth Weld,,29606.05,42.77,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 9,1809.93,AGM 10,1395.16,42.33,42.77,42.62,42.33,42.77,9410,30.03,42.50,33.7446891,-118.0068724,31.37,
GWD 9420,Girth Weld,,29648.83,30.03,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 9,1852.70,AGM 10,1352.38,42.77,30.03,42.33,42.77,30.03,9420,42.50,41.22,33.7448068,-118.0068733,32.60,
GWD 9430,Girth Weld,,29678.86,42.50,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 9,1882.74,AGM 10,1322.35,30.03,42.50,42.77,30.03,42.50,9430,41.22,43.07,33.7448894,-118.0068743,33.70,
GWD 9440,Girth Weld,,29721.36,41.22,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 9,1925.24,AGM 10,1279.85,42.50,41.22,30.03,42.50,41.22,9440,43.07,43.18,33.7450063,-118.0068757,35.33,
GWD 9450,Girth Weld,,29762.58,43.07,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 9,1966.46,AGM 10,1238.63,41.22,43.07,42.50,41.22,43.07,9450,43.18,42.51,33.7451195,-118.0068764,37.69,
GWD 9460,Girth Weld,,29805.65,43.18,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 9,2009.53,AGM 10,1195.56,43.07,43.18,41.22,43.07,43.18,9460,42.51,43.62,33.7452379,-118.0068772,39.67,
GWD 9470,Girth Weld,,29848.83,42.51,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 9,2052.71,AGM 10,1152.38,43.18,42.51,43.07,43.18,42.51,9470,43.62,24.01,33.7453567,-118.0068779,41.45,
GWD 9480,Girth Weld,,29891.34,43.62,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 9,2095.22,AGM 10,1109.87,42.51,43.62,43.18,42.51,43.62,9480,24.01,43.01,33.7454736,-118.0068789,43.18,
GWD 9490,Girth Weld,,29934.96,24.01,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 9,2138.83,AGM 10,1066.25,43.62,24.01,42.51,43.62,24.01,9490,43.01,42.15,33.7455934,-118.0068797,45.40,
GWD 9500,Girth Weld,,29958.97,43.01,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 9,2162.85,AGM 10,1042.24,24.01,43.01,43.62,24.01,43.01,9500,42.15,42.87,33.7456593,-118.0068796,47.21,
GWD 9510,Girth Weld,,30001.98,7.12,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 9,2205.86,AGM 10,999.23,43.01,42.15,24.01,43.01,42.15,9510,42.87,44.10,33.7457772,-118.0068792,50.35,
CSG 3,Casing Start,,30009.10,35.02,0.280,42000,ERW,8.625,728,,,5195.338,,,,,,,,AGM 9,2212.98,AGM 10,992.10,7.12,35.02,24.01,43.01,42.15,9510,42.87,44.10,33.7457968,-118.0068793,50.74,Casing - Start
GWD 9520,Girth Weld,,30044.13,42.87,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 9,2248.01,AGM 10,957.08,42.15,42.87,43.01,42.15,42.87,9520,44.10,43.59,33.7458931,-118.0068797,52.23,
GWD 9530,Girth Weld,,30087.00,44.10,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 9,2290.88,AGM 10,914.21,42.87,44.10,42.15,42.87,44.10,9530,43.59,43.07,33.7460110,-118.0068811,53.89,
GWD 9540,Girth Weld,,30131.10,43.59,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 9,2334.98,AGM 10,870.11,44.10,43.59,42.87,44.10,43.59,9540,43.07,42.96,33.7461323,-118.0068829,55.57,
GWD 9550,Girth Weld,,30174.69,43.07,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 9,2378.57,AGM 10,826.52,43.59,43.07,44.10,43.59,43.07,9550,42.96,43.47,33.7462523,-118.0068846,56.55,
GWD 9560,Girth Weld,,30217.76,42.96,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 9,2421.64,AGM 10,783.45,43.07,42.96,43.59,43.07,42.96,9560,43.47,42.71,33.7463708,-118.0068864,57.34,
GWD 9570,Girth Weld,,30260.72,43.47,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 9,2464.60,AGM 10,740.49,42.96,43.47,43.07,42.96,43.47,9570,42.71,43.10,33.7464891,-118.0068879,57.79,
GWD 9580,Girth Weld,,30304.19,42.71,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 9,2508.07,AGM 10,697.01,43.47,42.71,42.96,43.47,42.71,9580,43.10,41.56,33.7466089,-118.0068897,57.84,
GWD 9590,Girth Weld,,30346.91,43.10,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 9,2550.78,AGM 10,654.30,42.71,43.10,43.47,42.71,43.10,9590,41.56,31.42,33.7467266,-118.0068913,57.64,
GWD 9600,Girth Weld,,30390.01,41.56,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 9,2593.88,AGM 10,611.20,43.10,41.56,42.71,43.10,41.56,9600,31.42,40.02,33.7468453,-118.0068925,57.29,
GWD 9610,Girth Weld,,30431.57,10.48,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 9,2635.44,AGM 10,569.64,41.56,31.42,43.10,41.56,31.42,9610,40.02,10.37,33.7469598,-118.0068935,56.24,
CSG 3,Casing End,,30442.05,20.94,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 9,2645.93,AGM 10,559.16,10.48,20.94,43.10,41.56,31.42,9610,40.02,10.37,33.7469887,-118.0068939,56.03,Casing - End
GWD 9620,Girth Weld,,30462.99,40.02,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 9,2666.87,AGM 10,538.22,31.42,40.02,41.56,31.42,40.02,9620,10.37,43.60,33.7470464,-118.0068952,55.80,
GWD 9630,Girth Weld,,30503.01,10.37,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 9,2706.89,AGM 10,498.20,40.02,10.37,31.42,40.02,10.37,9630,43.60,43.39,33.7471567,-118.0068981,54.99,
GWD 9640,Girth Weld,,30513.38,43.60,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 9,2717.26,AGM 10,487.82,10.37,43.60,40.02,10.37,43.60,9640,43.39,33.51,33.7471853,-118.0068982,54.75,
GWD 9650,Girth Weld,,30556.98,43.39,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 9,2760.86,AGM 10,444.22,43.60,43.39,10.37,43.60,43.39,9650,33.51,42.88,33.7473054,-118.0068966,53.00,
GWD 9660,Girth Weld,,30600.38,33.51,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 9,2804.25,AGM 10,400.83,43.39,33.51,43.60,43.39,33.51,9660,42.88,43.83,33.7474249,-118.0068976,50.49,
GWD 9670,Girth Weld,,30633.88,42.88,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 9,2837.76,AGM 10,367.33,33.51,42.88,43.39,33.51,42.88,9670,43.83,43.96,33.7475172,-118.0069001,48.90,
GWD 9680,Girth Weld,,30676.76,43.83,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 9,2880.64,AGM 10,324.44,42.88,43.83,33.51,42.88,43.83,9680,43.96,43.06,33.7476352,-118.0069018,45.74,
GWD 9690,Girth Weld,,30720.59,43.96,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 9,2924.47,AGM 10,280.62,43.83,43.96,42.88,43.83,43.96,9690,43.06,42.95,33.7477559,-118.0069031,43.08,
GWD 9700,Girth Weld,,30764.55,43.06,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 9,2968.43,AGM 10,236.65,43.96,43.06,43.83,43.96,43.06,9700,42.95,43.30,33.7478769,-118.0069043,39.98,
GWD 9710,Girth Weld,,30807.61,42.95,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 9,3011.49,AGM 10,193.59,43.06,42.95,43.96,43.06,42.95,9710,43.30,5.07,33.7479954,-118.0069060,37.60,
GWD 9720,Girth Weld,,30850.56,42.70,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 9,3054.44,AGM 10,150.64,42.95,43.30,43.06,42.95,43.30,9720,5.07,37.93,33.7481138,-118.0069073,35.23,
MOB 2,Metal Object,,30893.26,0.60,0.280,42000,ERW,8.625,728,,,3.581,2.029,6:09,,,,,,AGM 9,3097.14,AGM 10,107.94,42.70,0.60,43.06,42.95,43.30,9720,5.07,37.93,33.7482314,-118.0069086,33.00,Touching Metal Object
GWD 9730,Girth Weld,,30893.87,5.07,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 9,3097.75,AGM 10,107.34,43.30,5.07,42.95,43.30,5.07,9730,37.93,40.59,33.7482330,-118.0069087,32.98,
GWD 9740,Girth Weld,,30898.93,37.93,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 9,3102.81,AGM 10,102.27,5.07,37.93,43.30,5.07,37.93,9740,40.59,35.42,33.7482470,-118.0069090,32.78,
GWD 9750,Girth Weld,,30936.86,40.59,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 9,3140.74,AGM 10,64.35,37.93,40.59,5.07,37.93,40.59,9750,35.42,31.89,33.7483515,-118.0069102,32.62,
GWD 9760,Girth Weld,,30977.45,23.75,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 9,3181.33,AGM 10,23.75,40.59,35.42,37.93,40.59,35.42,9760,31.89,38.81,33.7484633,-118.0069115,31.93,
MRK 8,Marker,,31001.21,11.67,0.280,42000,ERW,8.625,728,,,,,11:36,,,,,,AGM 9,3205.09,AGM 11,2677.69,23.75,11.67,37.93,40.59,35.42,9760,31.89,38.81,33.7485288,-118.0069117,31.30,AGM 10 7' West of Curb - Located in Goldenwest St
GWD 9770,Girth Weld,,31012.88,31.89,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 10,11.67,AGM 11,2666.02,35.42,31.89,40.59,35.42,31.89,9770,38.81,38.26,33.7485608,-118.0069115,31.14,
GWD 9780,Girth Weld,,31044.76,38.81,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 10,43.56,AGM 11,2634.14,31.89,38.81,35.42,31.89,38.81,9780,38.26,35.28,33.7486484,-118.0069116,31.53,
GWD 9790,Girth Weld,,31083.57,38.26,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 10,82.37,AGM 11,2595.32,38.81,38.26,31.89,38.81,38.26,9790,35.28,37.00,33.7487551,-118.0069122,31.76,
GWD 9800,Girth Weld,,31121.83,35.28,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 10,120.62,AGM 11,2557.07,38.26,35.28,38.81,38.26,35.28,9800,37.00,26.49,33.7488602,-118.0069124,31.86,
GWD 9810,Girth Weld,,31157.11,37.00,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 10,155.91,AGM 11,2521.78,35.28,37.00,38.26,35.28,37.00,9810,26.49,1.76,33.7489572,-118.0069126,31.72,
GWD 9820,Girth Weld,,31194.11,20.55,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 10,192.90,AGM 11,2484.79,37.00,26.49,35.28,37.00,26.49,9820,1.76,19.83,33.7490588,-118.0069131,32.20,
MOB 3,Metal Object,,31214.66,5.94,0.280,42000,ERW,8.625,728,,,3.764,2.239,11:47,,,,,,AGM 10,213.45,AGM 11,2464.24,20.55,5.94,35.28,37.00,26.49,9820,1.76,19.83,33.7491153,-118.0069139,32.39,Touching Metal Object
GWD 9830,Girth Weld,,31220.59,1.76,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 10,219.39,AGM 11,2458.30,26.49,1.76,37.00,26.49,1.76,9830,19.83,45.72,33.7491316,-118.0069142,32.30,
GWD 9840,Girth Weld,,31222.35,14.51,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 10,221.15,AGM 11,2456.54,1.76,19.83,26.49,1.76,19.83,9840,45.72,45.35,33.7491364,-118.0069142,32.25,
MOB 4,Metal Object,,31236.86,5.32,0.280,42000,ERW,8.625,728,,,2.272,3.020,12:09,,,,,,AGM 10,235.66,AGM 11,2442.03,14.51,5.32,26.49,1.76,19.83,9840,45.72,45.35,33.7491763,-118.0069146,31.71,Touching Metal Object
GWD 9850,Girth Weld,,31242.18,45.72,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 10,240.97,AGM 11,2436.72,19.83,45.72,1.76,19.83,45.72,9850,45.35,51.88,33.7491909,-118.0069147,31.55,
GWD 9860,Girth Weld,,31287.90,45.35,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 10,286.70,AGM 11,2390.99,45.72,45.35,19.83,45.72,45.35,9860,51.88,50.40,33.7493166,-118.0069153,31.42,
GWD 9870,Girth Weld,,31333.26,51.88,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 10,332.05,AGM 11,2345.64,45.35,51.88,45.72,45.35,51.88,9870,50.40,25.69,33.7494412,-118.0069140,31.75,
GWD 9880,Girth Weld,,31385.13,50.40,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 10,383.93,AGM 11,2293.76,51.88,50.40,45.35,51.88,50.40,9880,25.69,19.16,33.7495837,-118.0069124,32.00,
GWD 9890,Girth Weld,,31435.54,25.69,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 10,434.33,AGM 11,2243.36,50.40,25.69,51.88,50.40,25.69,9890,19.16,41.51,33.7497222,-118.0069128,32.68,
GWD 9900,Girth Weld,,31461.23,19.16,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 10,460.02,AGM 11,2217.67,25.69,19.16,50.40,25.69,19.16,9900,41.51,39.81,33.7497927,-118.0069145,32.94,
GWD 9910,Girth Weld,,31480.40,41.51,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 10,479.19,AGM 11,2198.50,19.16,41.51,25.69,19.16,41.51,9910,39.81,41.65,33.7498454,-118.0069155,32.84,
GWD 9920,Girth Weld,,31521.90,39.81,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 10,520.70,AGM 11,2156.99,41.51,39.81,19.16,41.51,39.81,9920,41.65,53.94,33.7499595,-118.0069164,32.75,
GWD 9930,Girth Weld,,31561.71,41.65,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 10,560.51,AGM 11,2117.18,39.81,41.65,41.51,39.81,41.65,9930,53.94,41.77,33.7500688,-118.0069172,33.38,
GWD 9940,Girth Weld,,31603.37,53.94,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 10,602.16,AGM 11,2075.53,41.65,53.94,39.81,41.65,53.94,9940,41.77,54.30,33.7501833,-118.0069171,33.77,
GWD 9950,Girth Weld,,31657.31,41.77,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 10,656.10,AGM 11,2021.59,53.94,41.77,41.65,53.94,41.77,9950,54.30,52.49,33.7503314,-118.0069166,35.06,
GWD 9960,Girth Weld,,31699.08,54.30,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 10,697.87,AGM 11,1979.82,41.77,54.30,53.94,41.77,54.30,9960,52.49,54.00,33.7504461,-118.0069175,35.57,
GWD 9970,Girth Weld,,31753.38,52.49,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 10,752.17,AGM 11,1925.52,54.30,52.49,41.77,54.30,52.49,9970,54.00,22.44,33.7505953,-118.0069194,36.32,
GWD 9980,Girth Weld,,31805.86,54.00,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 10,804.66,AGM 11,1873.03,52.49,54.00,54.30,52.49,54.00,9980,22.44,1.63,33.7507395,-118.0069197,35.94,
GWD 9990,Girth Weld,,31859.87,22.44,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 10,858.66,AGM 11,1819.03,54.00,22.44,52.49,54.00,22.44,9990,1.63,6.98,33.7508879,-118.0069194,35.84,
GWD 10000,Girth Weld,,31882.30,0.85,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 10,881.10,AGM 11,1796.59,22.44,1.63,54.00,22.44,1.63,10000,6.98,1.68,33.7509496,-118.0069184,35.73,
BND 82,Bend,,31883.15,0.78,0.280,42000,ERW,8.625,728,,,24.996,,,,,,,,AGM 10,881.94,AGM 11,1795.75,0.85,0.78,54.00,22.44,1.63,10000,6.98,1.68,33.7509519,-118.0069179,35.80,3.0D 47.6 deg right turn sag bend
GWD 10010,Girth Weld,,31883.93,6.98,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 10,882.72,AGM 11,1794.97,1.63,6.98,22.44,1.63,6.98,10010,1.68,8.30,33.7509536,-118.0069166,35.97,
GWD 10020,Girth Weld,,31890.91,0.89,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 10,889.70,AGM 11,1787.99,6.98,1.68,1.63,6.98,1.68,10020,8.30,22.94,33.7509665,-118.0069014,38.16,
BND 83,Bend,,31891.80,0.79,0.280,42000,ERW,8.625,728,,,24.667,,,,,,,,AGM 10,890.60,AGM 11,1787.09,0.89,0.79,1.63,6.98,1.68,10020,8.30,22.94,33.7509684,-118.0068999,38.39,3.0D 48.7 deg left turn over bend
GWD 10030,Girth Weld,,31892.59,1.98,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 10,891.39,AGM 11,1786.30,1.68,8.30,6.98,1.68,8.30,10030,22.94,22.00,33.7509705,-118.0068993,38.47,
CSG 4,Casing Start,,31894.57,6.32,0.280,42000,ERW,8.625,728,,,595.295,,,,,,,,AGM 10,893.37,AGM 11,1784.32,1.98,6.32,6.98,1.68,8.30,10030,22.94,22.00,33.7509760,-118.0068993,38.49,Casing - Start
GWD 10040,Girth Weld,,31900.90,22.94,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 10,899.69,AGM 11,1778.00,8.30,22.94,1.68,8.30,22.94,10040,22.00,1.50,33.7509933,-118.0068995,38.49,
GWD 10050,Girth Weld,,31923.83,20.35,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 10,922.63,AGM 11,1755.06,22.94,22.00,8.30,22.94,22.00,10050,1.50,5.05,33.7510564,-118.0069006,38.55,
CSG 4,Casing End,,31944.18,1.65,0.280,42000,ERW,8.625,728,,,,,,,,,,,AGM 10,942.97,AGM 11,1734.72,20.35,1.65,8.30,22.94,22.00,10050,1.50,5.05,33.7511123,-118.0069022,38.55,Casing - End
